1,英超,09-01 22:00,[12]布赖顿VS富勒姆[11],析 亚 欧,2.213.343.34,310,全,,0%0%0%
2,英超,09-01 22:00,[03]切尔西VS伯恩茅[06],析 亚 欧,1.295.829.85,310,全,,0%0%0%
3,英超,09-01 22:00,[10]水晶宫VS南安普[16],析 亚 欧,1.973.394.05,310,全,,0%0%0%
4,英超,09-01 22:00,[08]埃弗顿VS哈德斯[19],析 亚 欧,1.504.077.26,310,全,,0%0%0%
5,英超,09-01 22:00,[20]西汉姆VS狼 队[14],析 亚 欧,2.523.332.84,310,全,,0%0%0%
6,英超,09-02 00:30,[05]曼 城VS纽卡斯[17],析 亚 欧,1.119.5324.49,310,全,,0%0%0%
7,德甲,09-01 21:30,[16]勒 沃VS沃尔夫[06],析 亚 欧,1.614.045.35,310,全,,0%0%0%
8,德甲,09-01 21:30,[03]法兰克VS不来梅[10],析 亚 欧,2.393.352.95,310,全,,0%0%0%
9,德甲,09-01 21:30,[05]奥格斯VS门 兴[04],析 亚 欧,2.603.342.68,310,全,,0%0%0%
10,德甲,09-01 21:30,[15]霍芬海VS弗赖堡[17],析 亚 欧,1.584.075.60,310,全,,0%0%0%
11,德甲,09-01 21:30,[13]纽伦堡VS美因茨[08],析 亚 欧,2.353.193.15,310,全,,0%0%0%
12,德甲,09-02 00:30,[14]斯图加VS拜 仁[02],析 亚 欧,9.825.431.30,310,全,,0%0%0%
13,意甲,09-01 23:59,[15]博洛尼VS国 米[12],析 亚 欧,6.213.901.57,310,全,,0%0%0%
14,意甲,09-02 02:30,[13]帕尔马VS尤 文[01],析 亚 欧,16.256.461.19,310,全,,0%0%0%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
