Serial,Result,NumGold,BonusGold,NumSilver,BonusSilver,Sales14,Num9,Bonus9,Sales9,Date
18108,3 1 0 3 3 3 3 3 0 0 1 1 3 3,15,604667,620,6269,20245562,4028,2746,17282978,2018-08-31
18107,3 0 1 1 0 0 3 1 * 3 3 3 3 0,18,486773,537,6992,19557868,2215,4659,16126356,2018-08-30
18106,3 0 3 3 3 3 1 1 3 1 3 3 1 0,69,149018,1685,2615,22951486,13273,1091,22637034,2018-08-27
18105,1 3 1 0 3 0 0 3 1 3 3 1 3 0,66,182101,1678,3069,26827442,20441,691,22090284,2018-08-26
18104,3 3 3 3 1 3 1 0 0 1 3 3 3 3,14,388160,418,5571,12130026,7327,1754,20081514,2018-08-25
18103,3 3 1 3 1 1 3 1 1 3 0 3 3 3,3,2630725,116,29158,17616466,3065,3855,18464438,2018-08-24
18102,1 1 3 0 3 0 0 1 1 3 1 3 3 0,2,2723594,36,64847,12158906,330,30350,15649554,2018-08-23
18101,3 3 0 0 * 0 3 * 3 1 0 0 3 3,28,480840,619,9321,30052562,4840,2584,19545340,2018-08-20
18100,3 3 3 0 3 0 0 1 0 3 1 3 0 3,527,46370,11384,706,41862102,44023,328,22598396,2018-08-19
18099,1 0 3 1 3 1 3 1 3 3 3 1 0 3,0,0,4,608910,12685640,109,98191,16723228,2018-08-18
18098,0 3 3 3 1 3 3 3 1 1 3 3 3 3,702,16876,12893,393,26445270,62783,174,17138466,2018-08-17
18097,0 1 1 3 1 1 3 3 1 1 0 3 1 1,5,1520634,155,21022,16971370,2708,4298,18188180,2018-08-16
18096,3 1 0 0 3 3 0 3 3 1 3 1 1 3,154,149358,3875,1833,37008854,19974,636,19875878,2018-08-13
18095,0 3 0 0 3 1 3 0 0 3 0 0 3 0,0,0,32,85999,14333238,348,28100,15279634,2018-08-12
18094,3 1 3 3 3 0 3 0 1 0 1 0 0 0,2,2718356,106,21981,12135520,1402,7539,16516788,2018-08-11
18093,0 0 3 3 3 3 0 0 3 0 0 1 0 0,9,3504701,611,10741,34183838,1929,6078,18320186,2018-08-10
18092,1 3 0 0 1 1 1 1 3 3 3 1 1 3,0,0,25,185639,24171786,697,15580,16967688,2018-08-09
18091,3 3 1 1 0 3 0 1 1 0 3 1 1 1,0,0,4,578463,12051326,194,42428,12861002,2018-08-06
18090,3 3 3 1 3 1 1 1 3 3 0 3 3 1,3,4135605,67,36765,12829690,666,12072,12563260,2018-08-05
18089,1 3 1 0 0 1 1 3 0 1 3 1 0 1,2,5000000,85,60464,26768276,1148,9135,16387346,2018-08-03
18088,3 3 0 1 0 1 0 3 1 0 1 0 3 0,1,5000000,47,71890,17598316,385,25917,15591248,2018-08-02
18087,1 1 0 0 1 3 3 0 3 3 1 1 0 3,1,5000000,25,116277,15140360,521,17121,13938216,2018-07-30
18086,3 1 0 0 1 1 1 3 3 3 3 3 3 3,3,2064202,65,40830,13822782,808,11303,14270286,2018-07-27
18085,3 0 0 3 0 3 3 3 3 3 3 3 3 0,54,151672,1352,2596,18281912,10010,931,14574600,2018-07-23
18084,3 3 0 0 3 3 0 3 1 1 3 0 3 1,3,3473321,295,15137,23258850,1365,5600,11945678,2018-07-20
18083,3 3 0 3 3 3 1 1 3 3 3 3 1 3,"6,949",1724,90459,56,26744066,408683,21,13840482,2018-07-19
18082,3 3 3 3 0 0 3 1 0 1 3 0 3 0,10,762696,309,10578,17024486,1824,5154,14689342,2018-07-16
18081,0 0 0 0 0 0 0 3 0 0 0 0 3 0,713,25396,16933,238,21038638,37884,270,16024610,2018-07-13
18080,3 1 3 0 1 0 3 0 3 3 1 1 0 3,0,0,63,59063,19380108,884,10472,14464982,2018-07-12
18079,0 0 0 1 * 3 0 0 1 1 0 3 3 0,81,107959,1962,1910,19519448,13041,844,17199262,2018-07-08
18078,3 1 3 1 3 3 3 1 3 0 0 3 3 1,18,2523066,568,14554,43058452,3307,4215,21783644,2018-07-04
18077,0 1 1 0 1 0 0 0 3 0 1 0 0 0,0,0,30,373214,58314742,47,387361,28446830,2018-06-29
18076,3 0 1 3 0 3 3 0 3 0 3 3 1 0,"5,361",5483,93379,134,65623738,275792,62,26781126,2018-06-25
18075,0 1 3 1 0 3 0 0 1 3 3 0 0 0,6,3866755,187,53171,51786908,943,16206,23879766,2018-06-20
18074,3 1 1 3 0 1 1 3 0 1 1 3 3 0,2,3283855,66,42647,14660070,1790,4488,12552950,2018-06-11
18073,3 3 1 3 3 1 1 1 0 3 0 3 3 3,8,1068892,212,17286,19087360,1229,7777,14935194,2018-06-04
18072,1 3 3 3 1 3 3 3 3 3 0 3 3 3,"1,209",5779,17952,166,15595754,53367,138,11531866,2018-05-31
18071,1 3 0 3 3 3 0 3 0 1 3 3 0 1,14,824129,488,7026,17858948,2978,3041,14152160,2018-05-28
18070,1 1 3 3 0 3 3 1 3 3 0 3 3 0,0,0,73,20765,7895102,0,0,9678174,2018-05-27
18069,3 3 3 3 3 3 0 0 0 1 3 3 3 3,495,25360,10305,522,28020748,36352,349,19840908,2018-05-21
18068,0 3 0 1 3 3 0 0 3 1 3 3 3 1,"3,562",3645,46227,120,28984932,112617,116,20420468,2018-05-20
18067,0 3 0 3 3 3 0 0 3 3 1 1 1 0,133,105859,2838,2126,31427022,12611,1076,21215666,2018-05-14
18066,3 0 3 0 3 0 3 3 3 0 0 0 1 3,100,129725,3224,1724,28956490,9848,1477,22737960,2018-05-13
18065,1 3 3 3 1 3 3 3 1 3 0 3 3 1,64,222340,1669,3653,31762872,8372,1585,20746032,2018-05-12
18064,3 3 3 0 3 1 1 3 0 0 0 1 3 0,12,2745773,557,15847,45974418,1637,9104,23287352,2018-05-07
18063,3 0 3 3 1 0 0 3 3 0 3 3 3 1,0,0,41,129122,27573084,385,40109,24128494,2018-05-06
18062,3 3 3 0 3 0 1 0 0 3 3 3 0 3,61,81101,1531,1384,11042854,15010,675,15843656,2018-05-04
18061,0 3 3 3 1 0 0 3 3 0 0 1 0 3,427,41168,11732,642,39238768,43438,348,23623206,2018-05-01
18060,1 3 0 0 3 0 3 1 1 3 0 0 3 3,5,2362245,292,17335,26364346,1598,9366,23387702,2018-04-29
18059,3 3 3 3 0 3 3 3 0 0 0 3 1 3,53,170590,1887,2053,20181434,12161,1130,21484160,2018-04-28
18058,3 0 3 3 3 0 3 3 1 3 1 3 1 0,18,341556,418,6303,13723244,3848,3647,21928540,2018-04-26
18057,3 3 1 0 3 3 0 0 3 0 1 3 3 0,54,574063,1621,5370,45341382,7591,2130,25267482,2018-04-23
18056,1 0 3 0 0 3 3 3 0 1 3 1 3 3,0,0,5,784203,20421962,41,325033,20822460,2018-04-22
18055,3 1 1 1 1 3 1 3 0 1 3 1 3 0,1,5000000,90,31130,14592502,886,13803,19108760,2018-04-21
18054,0 0 0 3 1 1 0 1 3 3 0 1 0 1,3,4958267,109,58485,33202684,619,24243,23447958,2018-04-19
18053,0 1 0 3 3 1 0 0 1 3 1 1 3 3,3,3448431,151,29362,23092176,1672,7919,20689858,2018-04-18
18052,0 3 1 3 1 1 3 1 3 3 0 0 0 3,4,4476173,401,19135,39965834,1239,11543,22348002,2018-04-16
18051,3 3 3 1 3 0 1 3 1 3 3 0 3 1,232,48673,4295,1126,25205734,28983,500,22662744,2018-04-15
18050,1 0 3 0 3 3 0 1 0 0 3 1 1 0,2,2985979,93,27520,13330266,683,17414,18584108,2018-04-14
18049,3 0 1 0 3 3 3 3 0 3 3 3 0 3,10,988659,263,16110,22068294,1456,9872,22459034,2018-04-12
18048,3 1 3 1 3 3 3 0 1 1 3 3 1 0,125,267800,3197,3031,50474374,11998,1248,23407034,2018-04-09
18047,1 1 0 0 0 1 0 0 0 3 1 3 1 0,0,0,18,258631,24246660,316,44377,21911488,2018-04-08
18046,0 3 0 1 3 1 3 1 1 3 3 0 3 0,3,2252593,96,30168,15084334,1049,12686,20793314,2018-04-07
18045,0 1 0 0 0 3 3 0 3 0 3 1 3 1,70,283314,1863,3281,31838960,6916,2189,23665540,2018-04-05
18044,0 3 1 3 0 3 1 3 0 0 3 0 1 0,1,5000000,54,83874,23589604,751,18555,21773778,2018-04-02
18043,0 3 3 1 0 3 0 3 0 1 3 1 1 3,219,236202,6152,1726,55304750,18421,812,23377082,2018-04-01
18042,0 3 3 0 0 3 3 0 3 1 3 1 3 1,0,0,38,144394,28578074,304,38364,18223262,2018-03-31
18041,1 3 3 3 0 0 3 1 1 1 1 0 0 3,0,0,4,719521,14990022,195,49179,14984484,2018-03-26
18040,0 0 3 3 0 1 0 3 3 0 3 0 0 1,0,0,122,26112,16592192,916,13226,18930516,2018-03-24
18039,1 3 3 0 3 0 0 0 1 3 3 1 3 3,15,1220483,544,14422,40864398,6078,2729,25918766,2018-03-19
18038,3 0 0 3 1 3 0 0 0 0 1 3 0 3,12,983824,332,15239,26352446,2405,6586,24752588,2018-03-18
18037,0 3 3 3 3 0 0 3 3 1 3 3 0 0,35,293476,802,3758,15698988,8733,1501,20483886,2018-03-17
18036,0 3 3 0 0 3 3 0 0 1 3 1 0 0,1,5000000,47,75123,18389578,443,34680,24005734,2018-03-16
18035,0 1 3 0 1 3 3 1 0 1 3 0 3 3,276,49324,5735,1017,30387290,34475,501,27019202,2018-03-12
18034,3 1 3 0 0 3 3 0 1 3 3 0 0 0,35,318206,1077,4431,24859888,7706,2104,25342774,2018-03-11
18033,0 3 3 3 3 0 3 3 0 3 0 3 * 0,"2,435",7962,35985,114,21526872,113057,122,21680214,2018-03-10
18032,1 1 1 0 0 0 0 3 0 0 3 3 3 1,0,0,3,1392001,21750018,33,341531,17610232,2018-03-09
